r,rho
0.16371465465465465,49.98896202447333
0.1646971071071071,49.53519382140562
0.16567955955955957,49.084708557032506
0.166662012012012,48.63749041540668
0.16764446446446446,48.19352372657507
0.16862691691691692,47.75279295918489
0.16960936936936938,47.31528271331742
0.1705918218218218,46.88097771354662
0.17157427427427427,46.449862802216515
0.17255672672672673,46.02192293293676
0.1735391791791792,45.59714316428812
0.17452163163163162,45.17550865373893
0.17550408408408408,44.75700465176488
0.17648653653653654,44.341616496170246
0.177468988988989,43.92932960660651
0.17845144144144143,43.52012947928457
0.1794338938938939,43.11400168187723
0.18041634634634635,42.710931848607714
0.1813987987987988,42.31090567552202
0.18238125125125124,41.913908915939416
0.1833637037037037,41.51992737607988
0.18434615615615615,41.12894691086345
0.1853286086086086,40.740953419878714
