r,nu pp
0.14799541541541542,0.002198503194326197
0.14897786786786787,0.00216566264366525
0.1499603203203203,0.002132841851997454
0.15094277277277277,0.0021000598841228483
0.15192522522522522,0.0020673351930026156
0.15290767767767768,0.00203468561875572
0.15389013013013011,0.002002128388664799
0.15487258258258257,0.001969680118143929
0.15585503503503503,0.0019373568126214724
0.1568374874874875,0.001905173870291345
0.15781993993993992,0.0018731460856865989
0.15880239239239238,0.0018412876540297247
0.15978484484484484,0.001809612176314691
0.1607672972972973,0.0017781326650765023
0.16174974974974976,0.0017468615508047468
0.1627322022022022,0.0017158106889586812
0.16371465465465465,0.0016849913675420413
0.1646971071071071,0.001654414315196991
0.16567955955955957,0.0016240897097775462
0.166662012012012,0.0015940271873638447
0.16764446446446446,0.001564235851679834
