r,l
0.32974911911911914,0.9989691996721137
0.33073157157157157,0.9989890083862688
0.331714024024024,0.99900772360649
0.3326964764764765,0.9990253766864471
0.3336789289289289,0.9990419979321322
0.33466138138138135,0.9990576166671686
0.33564383383383384,0.9990722612981493
0.33662628628628627,0.9990859593800058
0.33760873873873876,0.9990987376814016
0.3385911911911912,0.999110622250151
0.3395736436436436,0.9991216384786599
0.3405560960960961,0.9991318111693863
0.34153854854854854,0.9991411646003207
0.34252100100100097,0.9991497225904806
0.34350345345345346,0.9991575085635676
0.3444859059059059,0.9991645455897576
0.3454683583583584,0.999170856395089
0.3464508108108108,0.9991764633636214
0.34743326326326324,0.9991813885395071
0.3484157157157157,0.9991856536290694
0.34939816816816816,0.9991892800028904
0.35038062062062064,0.9991922886979067
0.3513630730730731,0.9991947004195122
0.3523455255255255,0.9991965355436695
0.353327977977978,0.9991978141190274
0.3543104304304304,0.9991985558690459
0.35529288288288285,0.9991987801941284
0.35627533533533534,0.9991985061737588
0.3572577877877878,0.9991977525686468
0.35824024024024026,0.9991965378228778
0.3592226926926927,0.9991948800660686
0.3602051451451451,0.9991927971155296
0.3611875975975976,0.9991903064784311
0.36217005005005004,0.9991874253539755
0.36315250250250247,0.9991841706355741
0.36413495495495496,0.999180558913028
0.3651174074074074,0.9991766064747153
0.3660998598598599,0.9991723293097796
0.3670823123123123,0.9991677431103257
0.36806476476476474,0.9991628632736171
0.3690472172172172,0.9991577049042781
0.37002966966966966,0.9991522828164991
0.3710121221221221,0.9991466115362456
0.3719945745745746,0.9991407053034704
0.372977027027027,0.9991345780743287
0.3739594794794795,0.9991282435233956
0.3749419319319319,0.9991217150458879
0.37592438438438436,0.9991150057598867
0.37690683683683684,0.9991081285085638
0.3778892892892893,0.9991010958624099
0.37887174174174176,0.9990939201214649
0.3798541941941942,0.9990866133175506
0.3808366466466466,0.9990791872165049
0.3818190990990991,0.9990716533204188
0.38280155155155154,0.9990640228698742
0.383784004004004,0.9990563068461831
0.38476645645645646,0.9990485159736296
0.3857489089089089,0.9990406607217125
0.3867313613613614,0.9990327513073882
0.3877138138138138,0.9990247976973171
0.38869626626626624,0.9990168096101094
0.38967871871871873,0.999008796518572
0.39066117117117116,0.9990007676519573
0.3916436236236236,0.9989927319982119
0.3926260760760761,0.9989846983062269
0.3936085285285285,0.9989766750880879
0.394590980980981,0.9989686706213267
0.39557343343343343,0.9989606929511727
0.39655588588588586,0.9989527498928056
0.39753833833833835,0.9989448490336077
0.3985207907907908,0.998936997735417
0.3995032432432432,0.9989292031367808
0.4004856956956957,0.9989214721552092
0.40146814814814813,0.9989138114894288
0.4024506006006006,0.9989062276216369
0.40343305305305305,0.9988987268197554
0.4044155055055055,0.9988913151396851
0.40539795795795797,0.9988839984275598
0.4063804104104104,0.9988767823220002
0.40736286286286283,0.9988696722563684
0.4083453153153153,0.9988626734610213
0.40932776776776775,0.9988557909655653
0.41031022022022023,0.998849029601109
0.41129267267267267,0.9988423940025173
0.4122751251251251,0.9988358886106641
0.4132575775775776,0.9988295176746859
0.41424003003003,0.9988232852542344
0.4152224824824825,0.9988171952217283
0.41620493493493493,0.9988112512646063
0.41718738738738737,0.9988054568875784
0.41816983983983985,0.998799815414877
0.4191522922922923,0.9987943299925085
0.4201347447447447,0.9987890035905042
0.4211171971971972,0.9987838390051695
0.42209964964964963,0.998778838861335
0.4230821021021021,0.998774005614605
0.42406455455455455,0.9987693415536072
0.425047007007007,0.9987648488022408
0.42602945945945947,0.9987605293219252
0.4270119119119119,0.9987563849138472
0.42799436436436433,0.998752417221209
0.4289768168168168,0.998748627731474
0.42995926926926925,0.9987450177786145
0.43094172172172174,0.9987415885453563
